product,vendor,category,price,ranking,skin_type
beauty-of-joseon-relief-sun-rice-probiotics,Beauty of Joseon,Sunscreen,16.15,4.77,All skin types.
cosrx-acne-pimple-master-patches,COSRX,Face Mask,4.36,4.50,"Oily, Acne prone skin types."
beauty-of-joseon-dynasty-cream,Beauty of Joseon,Moisturisers,19.45,4.62,All skin types.
abib-mild-acidic-ph-sheet-mask,Abib,Face Mask,2.85,4.92,All skin types.
abib-gummy-sheet-mask,Abib,Face Mask,2.85,4.82,
abib-acne-foam-cleanser-heartleaf-foam,Abib,Cleanser,16.60,4.35,"﻿Oily, Acne prone skin types."
abib-heartleaf-spot-pad-calming-touch,Abib,Toner,22.48,4.83,﻿All skin types.
abib-heartleaf-calming-toner-skin-booster,Abib,Toner,21.18,4.25,
abib-sedum-hyaluron-sunscreen-spf50-pa,Abib,Sunscreen,23.95,4.88,"Sensitive, dry skin, all skin types."
abib-quick-sunstick-protection-bar-spf50,Abib,Sunscreen,15.43,4.80,"Dry skin, all skin types."
abib-hydration-creme-water-tube,Abib,Moisturisers,25.42,4.67,
abib-heartleaf-essence-calming-pump-1,Abib,Essence,25.43,5.00,
abib-hydration-gel-water-tube,Abib,Moisturisers,25.42,5.00,
abib-heartleaf-sun-essence-calming-drop,Abib,Sunscreen,24.44,4.50,
abib-hand-creme-type-g-fragrant-tube,Abib,Hand Care,14.95,3.67,
abib-airy-sunstick-smoothing-bar,Abib,Sunscreen,23.46,3.00,"Sensitive skin, all skin types."
abib-brightening-cushion-compact-velvet-veil-spf50-pa-with-refill,Abib,Make-up,22.95,4.67,
abib-luminous-serum-melting-vita,Abib,Serum,34.95,4.00,﻿All skin types.
about-me-rice-makgeolli-gel-mask,ABOUT ME,Face Mask,2.95,4.86,"Sensitive, dry skin, all skin types."
about-me-be-clean-water-sun-spf50-pa,ABOUT ME,Sunscreen,19.95,4.33,
about-me-soop-calming-aqua-cream,ABOUT ME,Moisturisers,28.95,5.00,
about-me-soop-calming-aqua-mist,ABOUT ME,Toner,18.95,5.00,
about-me-soop-calming-aqua-serum,ABOUT ME,Serum,24.95,5.00,
about-me-soop-calming-aqua-toner,ABOUT ME,Toner,21.95,5.00,
about-me-be-clean-tone-up-sun-spf50-pa,ABOUT ME,Sunscreen,23.95,0.00,
about-me-kakadu-c-dark-spot-serum,ABOUT ME,Serum,26.95,5.00,"Sensitive skin, fungal acne safe, all skin types."
acwell-licorice-ph-balancing-cleansing-toner,ACWELL,Toner,12.19,4.75,All skin types.
acwell-licorice-ph-balancing-intensive-eye-cream,ACWELL,Eye Care,24.44,4.75,
acwell-licorice-ph-balancing-advance-serum,ACWELL,Serum,22.48,4.40,
acwell-ph-balancing-bubble-free-cleansing-gel,ACWELL,Cleanser,17.58,4.00,
amuse-dew-tint,AMUSE,Lip Care,19.95,4.69,
dew-jelly-fit-tint,AMUSE,Lip Care,19.95,4.73,All skin types.
amuse-dew-power-vegan-cushion-spf50,AMUSE,Make-up,29.95,4.41,All skin types.
